Date,Open,High,Low,Close,Adj Close,Volume
2012-06-15,81.571426,82.08857,81.364288,574.130005,82.01857,83813800
2012-06-18,81.565712,83.984283,81.48143,585.779968,83.682854,110103000
2012-06-19,83.342857,84.285713,83.300003,587.410034,83.915718,90351100
2012-06-20,84.029999,84.178574,82.971428,585.73999,83.677139,89735800
2012-06-21,83.634285,84.031425,82.491432,577.669983,82.524284,81587800
2012-06-22,82.720001,83.169998,82.202858,582.099976,83.157143,71117900
2012-06-25,82.471428,82.828575,81.48143,570.77002,81.538574,76095600
2012-06-26,81.618568,82.07,81.047142,572.030029,81.718575,69134100
2012-06-27,82.14286,82.391426,81.702858,574.5,82.071426,50749300
2012-06-28,81.667145,82,80.80143,569.049988,81.292854,70709100
2012-06-29,82.571426,83.428574,82.035713,584,83.428574,105375200
2012-07-02,83.53286,84.781425,83.371429,592.52002,84.645714,100023000
2012-07-03,84.982857,85.714287,84.85714,599.409973,85.629997,60428200
2012-07-05,85.794289,87.762856,85.664284,609.940002,87.134285,121095800
2012-07-06,86.727142,86.919998,85.940002,605.880005,86.554283,104732600
2012-07-09,86.471428,87.699997,86.30143,613.890015,87.69857,94851400
2012-07-10,88.281425,88.552856,86.472855,608.210022,86.887146,127989400
2012-07-11,86.58857,86.808571,85.317146,604.429993,86.347145,117330500
2012-07-12,85.748573,86.209999,84.668571,598.900024,85.557144,107010400
2012-07-13,86.135712,86.741432,85.714287,604.969971,86.424286,77856800
2012-07-16,86.445717,87.374283,86.431427,606.910034,86.701431,75315100
2012-07-17,87.255714,87.35714,86.164284,606.940002,86.705711,73406200
2012-07-18,86.655716,86.905716,86.222855,606.26001,86.608574,63175000
2012-07-19,87.325714,87.907143,86.571426,614.320007,87.760002,109215400
2012-07-20,87.575714,87.777145,86.242859,604.300049,86.328575,99367800
2012-07-23,84.914284,86.557144,83.958572,603.830017,86.261429,121993900
2012-07-24,86.76857,87.097145,85.501427,600.919983,85.845711,141283100
2012-07-25,82.065712,82.971428,81.428574,574.970032,82.138573,219328200
2012-07-26,82.822861,82.914284,81.480003,574.880005,82.125717,101658200
2012-07-27,82.144287,83.690002,81.655716,585.159973,83.594284,100984100
2012-07-30,84.417145,85.634285,83.974289,595.030029,85.004288,94785600
2012-07-31,86.175713,87.385712,86.102859,610.76001,87.251427,115581900
2012-08-01,87.987144,88.057144,86.14286,606.809998,86.687141,96125400
2012-08-02,86.120003,87.241432,85.75,607.789978,86.827141,83039600
2012-08-03,87.66143,88.28286,87.365715,615.700012,87.957146,86230200
2012-08-06,88.184288,89.267143,87.894287,622.549988,88.935715,75525800
